fact,value,units
CommitmentsAndContingencies,,USD
AccountingStandardsUpdateExtensibleList,http://fasb.org/us-gaap/2022#AccountingStandardsUpdate201601Member,
RevenueFromContractWithCustomerExcludingAssessedTax,198270000000,USD
CostOfGoodsAndServicesSold,62650000000,USD
GrossProfit,135620000000,USD
ResearchAndDevelopmentExpense,24512000000,USD
SellingAndMarketingExpense,21825000000,USD
GeneralAndAdministrativeExpense,5900000000,USD
OperatingIncomeLoss,83383000000,USD
NonoperatingIncomeExpense,333000000,USD
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,83716000000,USD
IncomeTaxExpenseBenefit,10978000000,USD
NetIncomeLoss,72738000000,USD
EarningsPerShareBasic,9.70,USD per shares
EarningsPerShareDiluted,9.65,USD per shares
WeightedAverageNumberOfSharesOutstandingBasic,7496000000,shares
WeightedAverageNumberOfDilutedSharesOutstanding,7540000000,shares
OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,6000000,USD
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-5360000000,USD
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,-1146000000,USD
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-6500000000,USD
ComprehensiveIncomeNetOfTax,66238000000,USD
CashAndCashEquivalentsAtCarryingValue,13931000000,USD
ShortTermInvestments,90826000000,USD
CashCashEquivalentsAndShortTermInvestments,104757000000,USD
AllowanceForDoubtfulAccountsReceivableCurrent,633000000,USD
AccountsReceivableNetCurrent,44261000000,USD
InventoryNet,3742000000,USD
OtherAssetsCurrent,16924000000,USD
AssetsCurrent,169684000000,USD
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,59660000000,USD
PropertyPlantAndEquipmentNet,74398000000,USD
OperatingLeaseRightOfUseAsset,13148000000,USD
LongTermInvestments,6891000000,USD
Goodwill,67524000000,USD
FiniteLivedIntangibleAssetsNet,11298000000,USD
OtherAssetsNoncurrent,21897000000,USD
Assets,364840000000,USD
AccountsPayableCurrent,19000000000,USD
LongTermDebtCurrent,2749000000,USD
EmployeeRelatedLiabilitiesCurrent,10661000000,USD
AccruedIncomeTaxesCurrent,4067000000,USD
ContractWithCustomerLiabilityCurrent,45538000000,USD
OtherLiabilitiesCurrent,13067000000,USD
LiabilitiesCurrent,95082000000,USD
LongTermDebtNoncurrent,47032000000,USD
AccruedIncomeTaxesNoncurrent,26069000000,USD
ContractWithCustomerLiabilityNoncurrent,2870000000,USD
DeferredIncomeTaxLiabilitiesNet,230000000,USD
OperatingLeaseLiabilityNoncurrent,11489000000,USD
OtherLiabilitiesNoncurrent,15526000000,USD
Liabilities,198298000000,USD
CommonStockSharesAuthorized,24000000000,shares
CommonStockSharesOutstanding,7464000000,shares
CommonStocksIncludingAdditionalPaidInCapital,86939000000,USD
RetainedEarningsAccumulatedDeficit,84281000000,USD
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-4678000000,USD
StockholdersEquity,166542000000,USD
LiabilitiesAndStockholdersEquity,364840000000,USD
ShareBasedCompensation,7502000000,USD
